Course_Code,Course_Name_TH,Course_Name_EN,Description_TH,Description_EN,IS_ELECTIVE,Learning Outcome,Credits
INT102,,WEB TECHNOLOGY,"ความสำคัญของเทคโนโลยีเว็บ สถาปัตยกรรมของเว็บ เอชทีทีพี/เอชทีทีพีเอส สแตติกและได
 นามิกเอชทีเอ็มแอล ซีเอสเอส และสื่อประสมบนเว็บ การสร้างเว็บไซต์ หลักการของการสื่อสารแบบ
 ประสานเวลาและไม่ประสานเวลาบนเว็บ ลักษณะเฉพาะของสื่อบนเว็บและบนสมาร์ทโฟน ","The impact of the World Wide Web technology. Web architecture. HTTP/HTTPS, static 
and dynamic HTML, CSS, and web multimedia. Website creation. Concepts of asynchronous and 
synchronous communication on the web. Characteristics of web-based and mobile-based media. The impact of the World Wide Web technology. Web architecture. HTTP/HTTPS, static 
and dynamic HTML, CSS, and web multimedia. Website creation. Concepts of asynchronous and 
synchronous communication on the web. Characteristics of web-based and mobile-based media. Course Learning Outcomes 
1. Describe how the world-wide web has impacted people’s lives over time. 
2. Illustrate the growth and changes in mobile devices and applications over time. 
3. Describe the role of HTTP and HTTPS in the context of web applications. 
4. Describe several web technologies such as dynamic HTML and the client-side model, 
server-side model. 
5. Design and implement a simple web site that organizes information effectively, uses valid 
HTML and CSS, and. applies appropriate web standards from standards bodies such as 
W3C. 
6. Use the support tools for website creation and web management. 
7. Analyze usability, functionality, and suitability of a webpage/website. 
8. Explain the difference between asynchronous and synchronous communication on the 
web. 
9. Contrast the characteristics of various web- and mobile-based communication media. ",FALSE,,
INT20101,,JAVASCRIPT PROGRAMMING,"การเขียนโปรแกรมภาษาจาวาสคริปต์ขั้นสูง: การเขียนโปรแกรมเชิงวัตถุและเชิงฟังก์ชัน การ
 เขียนโปรแกรมฝั่งไคลเอนต์ขั้นสูง: ซีเอสเอสสคริปติง มีเดียแอนด์กราฟิกสคริปติง หน่วยเก็บข้อมูลฝั่ง
 ไคลเอนต์ การจัดการประวัติ; ไลบรารีและเฟรมเวิร์กสำหรับจาวาสคริปต์ เฟรมเวิร์กสำหรับโปรแกรม
 ประยุกต์แบบหน้าเดียว (เอสพีเอ) การพัฒนา การทดสอบ และการนำโปรแกรมฝั่งไคลเอนต์ไปติดตั้งใช้งาน","Advanced JavaScript programming: object-oriented and functional programming. 
Advanced client-side programming: CSS scripting, media and graphic scripting, client-side storage, 
history management. JavaScript libraries and frameworks. Single Page Application ( SPA) 
frameworks. Developing, testing, and deploying client-side programs.            
Course Learning Outcomes 
1. Describe how scripting languages are used for web scripting, server-side scripting, and 
operating system scripting.  
2. Describe how the Fair Information Practices apply to personal information and how online 
entities collect and use personal information. 
3. Make sense of the terms Personal Information, Personally Identifiable Information, De
Identification, Anonymization, Pseudonym, Masking, and Unmasking.  
4. Classify several categories of personal information according to privacy and disclosure 
risk. 
5. Contrast policies for collecting, processing, storing, sharing, and disposing of personal 
information. 
6. Illustrate the role and limitations of encryption for protecting personal information. 
7. Make sense of policies and technologies for isolating personal data from enterprise data. 
8. Analyze approaches for controlling access to personal information. 
9. Contrast client-side with server-side security issues and evidence-based security vs. code 
access security. 
10. Define and evaluate several goals of secure coding. 
11. Justify the guidelines for authenticating and defining permissions to systems services and 
resources. 
12. For each of the following “best secure coding” practices, give an example of a problem 
that can occur when the practice is not followed and then describe how to overcome the 
problem. 
a. Preventing buffer overflow 
b. Securing state data and method access 
c. Wrapper code 
d. Unmanaged code 
e. Validation of user input 
f. 
Remoting considerations 
g. Protected objects 
h. Serialization 
i. 
Robust error handling 
13. Use collaboration tools such as GitHub to work with a team on a web or mobile 
application.",FALSE,,
INT203,,CLIENT-SIDE WEB PROGRAMMING II,"การเขียนโปรแกรมภาษาจาวาสคริปต์ขั้นสูง: การเขียนโปรแกรมเชิงวัตถุและเชิงฟังก์ชัน การ
 เขียนโปรแกรมฝั่งไคลเอนต์ขั้นสูง: ซีเอสเอสสคริปติง มีเดียแอนด์กราฟิกสคริปติง หน่วยเก็บข้อมูลฝั่ง
 ไคลเอนต์ การจัดการประวัติ; ไลบรารีและเฟรมเวิร์กสำหรับจาวาสคริปต์ เฟรมเวิร์กสำหรับโปรแกรม
 ประยุกต์แบบหน้าเดียว (เอสพีเอ) การพัฒนา การทดสอบ และการนำโปรแกรมฝั่งไคลเอนต์ไปติดตั้งใช้งาน","Advanced JavaScript programming: object-oriented and functional programming. 
Advanced client-side programming: CSS scripting, media and graphic scripting, client-side storage, 
history management. JavaScript libraries and frameworks. Single Page Application ( SPA) 
frameworks. Developing, testing, and deploying client-side programs.            
Course Learning Outcomes 
1. Describe how scripting languages are used for web scripting, server-side scripting, and 
operating system scripting.  
2. Describe how the Fair Information Practices apply to personal information and how online 
entities collect and use personal information. 
3. Make sense of the terms Personal Information, Personally Identifiable Information, De
Identification, Anonymization, Pseudonym, Masking, and Unmasking.  
4. Classify several categories of personal information according to privacy and disclosure 
risk. 
5. Contrast policies for collecting, processing, storing, sharing, and disposing of personal 
information. 
6. Illustrate the role and limitations of encryption for protecting personal information. 
7. Make sense of policies and technologies for isolating personal data from enterprise data. 
8. Analyze approaches for controlling access to personal information. 
9. Contrast client-side with server-side security issues and evidence-based security vs. code 
access security. 
10. Define and evaluate several goals of secure coding. 
11. Justify the guidelines for authenticating and defining permissions to systems services and 
resources. 
12. For each of the following “best secure coding” practices, give an example of a problem 
that can occur when the practice is not followed and then describe how to overcome the 
problem. 
a. Preventing buffer overflow 
b. Securing state data and method access 
c. Wrapper code 
d. Unmanaged code 
e. Validation of user input 
f. 
Remoting considerations 
g. Protected objects 
h. Serialization 
i. 
Robust error handling 
13. Use collaboration tools such as GitHub to work with a team on a web or mobile 
application.",FALSE,,
INT204,,SERVER-SIDE WEB PROGRAMMING II,"หัวข้อขั้นสูงเกี่ยวกับการพัฒนาโปรแกรมประยุกต์แบบเว็บ การใช้ภาษาสคริปต์สำหรับฝั่ง
 เซิร์ฟเวอร์ขั้นสูง รูปแบบการออกแบบสำหรับโปรแกรมประยุกต์แบบเว็บ การสร้าง การทดสอบ และการนำ
 โปรแกรมประยุกต์แบบเว็บไปติดตั้งเพื่อใช้งาน การใช้เอพีไอสำหรับการแปลงระหว่างข้อมูลเชิงวัตถุและ
 ข้อมูลเชิงสัมพันธ์ การจัดการสถานะการใช้งานของโปรแกรมประยุกต์แบบเว็บขั้นสูง: ประเด็นเกี่ยวกับ
 องค์ประกอบของคลัสเตอร์ ยูอาร์แอลรีไร้ท์ติ้ง; หลักการของการประมวลผลแบบกระจาย: การเขียน
 โปรแกรมสื่อสารผ่านซ็อกเก็ต ดีคอม คอร์บา และอาร์เอ็มไอ; เอแจ็กซ์; การทดสอบ การรวบรวม และการ
 ติดตั้งซอฟแวร์ที่มีการพัฒนาแยกส่วนกันอย่างอัตโนมัติ; เครื่องมือ เฟรมเวอร์คและเทคโนโลยีสำหรับเว็บ; 
หลักการพื้นฐานของเว็บเซอร์วิส: สถาปัตยกรรมของเว็บเซอร์วิส, WSDL, SOAP, RESTful Web API; 
ประเด็นด้านความมั่นคงปลอดภัย: ช่องทางสื่อสารแบบมั่นคงปลอดภัย การพิสูจน์ตัวตน สิทธิในการใช้งาน 
ช่องโหว่ และการโจมตีโปรแกรมประยุกต์แบบเว็บและแบบโมบาย","Advanced topics of web-based application development. Advanced server-side scripting. 
Design patterns for web-based applications. Creating, testing, and deploying web applications. 
Using ORM API. Advanced application state management: clustering configuration issues, URL 
rewriting. Concepts of distributed processing: socket programming, DCOM, CORBA, and RMI. 
Asynchronous JavaScript and XML (Ajax). CI/CD (Continuous Integration/Continuous Delivery). 
Web application tools and frameworks. Basic concepts of web services: web service architectures, 
WSDL, SOAP, RESTful Web API. Web application security issues: secure communication, 
authentication, authorization, vulnerabilities and attacks in web and mobile applications. 
Course Learning Outcomes 
1. Evaluate the design and architecture of a web or mobile system, including issues such as 
design patterns (including MVC), layers, tradeoffs between redundancy and scalability, 
state management, and search engine optimization. 
2. Describe  
a. how different types of architectures must be considered for integrating systems  
b. how web services are used to integrate disparate applications in an organization. 
c. the role of the WSDL, SOAP, and UDDI architectures in creating and using web 
services. 
d. how authentication, secure certificates, and secure communication can be used in 
web sessions. 
e. how the Fair Information Practices apply to personal information and how online 
entities collect and use personal information. 
90 
3. Demonstrate the role of DCOM, CORBA, and RMI in distributed processing and the role of 
socket programming in communicating between systems. Contrast the protocols and uses 
of TCP/IP sockets and Datagram sockets. 
4. Illustrate browser security models including same-origin policy and thread models in web 
security. 
5. Instruct others on common types of vulnerabilities and attacks in web and mobile 
applications, such as 
a. Using web page graphics as web beacons, using cookies to compromise privacy, 
denial of service attacks, cross-site scripting attacks, and SQL injection attacks. 
b. Secure a web or mobile application and defend against common attacks using 
techniques such as client-side security capabilities, public key encryption, security 
certificates, and safely persisting user logins (such as “remember me” functionality). 
6. Use accepted standards to ensure that user input on web pages does not affect server
side processes. 
7. Make sense of the terms Personal Information, Personally Identifiable Information, De
Identification, Anonymization, Pseudonym, Masking, and Unmasking, policies and 
technologies for isolating personal data from enterprise data. 
8. Classify several categories of personal information according to privacy and disclosure 
risk. 
9. Contrast  
a. policies for collecting, processing, storing, sharing, and disposing of personal 
information. 
b. Contrast client-side with server-side security issues. 
c. Contrast evidence-based security vs. code access security.  
10. Illustrate the role and limitations of encryption for protecting personal information. 
11. Analyze approaches for controlling access to personal information. 
12. Justify the guidelines for authenticating and defining permissions to systems services and 
resources. 
13. For each of the following “best secure coding” practices, give an example of a problem 
that can occur when the practice is not followed and then describe how to overcome the 
problem. 
a. Preventing buffer overflow 
b. Securing state data 
c. Securing method access 
d. Wrapper code 
e. Unmanaged code 
f. 
Validation of user input 
91 
g. Remoting considerations 
h. Protected objects 
i. 
Serialization 
j. 
Robust error handling 
14. Use collaboration tools such as GitHub to work with a team on a web or mobile 
application.  
15. Argue for the benefit of multi-factor authentication.  
16. Recognize password guessing, port scanning, SQL injection probes, and other 
cyberattacks in log files.",FALSE,,
INT206,,ADVANCED DATABASE,โครงสร้างภายในของระบบฐานข้อมูล การทำดรรชนี การแบ่งส่วนตาราง การแบ่งคลัสเตอร์ การทำซ้ำฐานข้อมูล คิวรีออปติไมเซชัน ความมั่นคงปลอดภัยของระบบฐานข้อมูล การจัดการทรานแซกชัน และการควบคุมภาวะพร้อมกัน,"Internal database structure, indexing, table partitioning, clustering, database replication, 
query optimization, database security, transaction management and concurrency control. 
Course Learning Outcomes 
1. Make meaning of the concepts of authentication, authorization, and access control. 
2. Contrast backup and recovery plans designed to protect against natural disasters from 
those designed to protect against hostile actors. 
3. Analyze how data fragmentation, replication and allocation affect database performance. 
4. Contrast and compare data administration and database administration. 
5. Describe tasks commonly performed by database administrators. 
6. Create and manage database users, roles, and privileges. 
7. Consider the concept of database security and backup and recovery. 
8. Evaluate the importance of metadata in database environment. 
9. Describe the role of networking in database and file service applications.",FALSE,,
INT208,,NETWORK II,การติดต่อสื่อสารข้อมูล สัญญาณดิจิทัล รูปแบบการเชื่อมต่อ กฎกติกาการติดต่อสื่อสาร สถาปัตยกรรมเครือข่ายระยะใกล้และระยะไกล อุปกรณ์สำหรับการติดต่อสื่อสารข้อมูล กลไกและกฎกติกาการแลกเปลี่ยนตารางเส้นทาง ประสิทธิภาพเครือข่าย แถบความกว้างเครือข่าย การติดต่อสื่อสารในทางกายภาพ การตรวจสอบและการแก้ปัญหาเครือข่าย การบีบอัดข้อมูล และปริมาณการรับส่งข้อมูล,"data communications and telecommunications models, digital signal processing, 
topologies, protocols, standards, architectures, LAN and WAN technologies, data communication 
network devices, routing algorithms and protocols, network performance, channel capacity, 
bandwidth, physical communication, error detection, correction, compression, robustness, 
expandability, throughput 
Course Learning Outcomes 
1. Describe data communications, topologies, protocols, standards and architectures 
2. Describe the operation and components and requirements of network protocols 
3. Describe the necessary hardware and components used to establish communication 
between multiple networks 
4. Analyze the effect of various topologies, applications, and devices on network performance 
topics 
5. Compare the bandwidth characteristics of several types of physical communication media 
6. Compare methods of error detection and correction 
7. Describe the development of modern communication standards, addressing standards 
8. Analyze and compare networking topologies in terms of robustness, expandability and 
throughput",FALSE,,
INT209,,DEVOPS,แนวคิดของเดฟออปส์ การใช้งานเครื่องมือต่าง ๆ ในการบริหารจัดการกระบวนการพัฒนาซอฟต์แวร์ อาทิ CircleCI Jenkins เทคโนโลยีการทำคอนเทนเนอร์ การใช้เครื่องมืออัตโนมัติในการติดตั้งและใช้งานซอฟต์แวร์,"Course Learning Outcomes 
1. Discuss the DevOps concept 
2. Design and develop software development pipeline 
3. Develop a system to provide real-time feedback using continuous integration and build 
automation tools 
4. Use container or cloud services and technologies to increase operations performance",FALSE,,
INT210,,"ARCHITECTURE, INTEGRATION AND DEPLOYMENT",แนะนำพื้นฐานของสถาปัตยกรรมซอฟต์แวร์ พื้นฐานหลักการและแนวทางในการออกแบบสถาปัตยกรรม ความต้องการทางสถาปัตยกรรม รูปแบบสถาปัตยกรรม รูปแบบ เฟรมเวิร์ก การจัดทำเอกสารสถาปัตยกรรม การประเมินสถาปัตยกรรม สถาปัตยกรรมสมัยใหม่ เช่น สถาปัตยกรรมเชิงบริการ สถาปัตยกรรมคลาวด์ และการประมวลผลบนอุปกรณ์เคลื่อนที่ การรวมองค์ประกอบซอฟต์แวร์ การวางแผนต่อเนื่อง การรวมต่อเนื่อง การติดตั้งต่อเนื่อง การส่งมอบต่อเนื่อง การทดสอบอัตโนมัติ การควบคุมเวอร์ชัน และการจัดการโครงแบบซอฟต์แวร์,"Introduction to the fundamentals of software architecture, fundamental principles and 
guidelines for software architecture design, architectural requirements, architectural styles, 
patterns, frameworks, architecture documentation, architecture evaluation, modern architectures 
such as service-oriented, cloud architecture, and mobile computing; integration of software 
components, continuous planning, continuous integration, continuous deployment, continuous 
delivery, automated testing, version control and software configuration management 
Course Learning Outcomes 
1. Argue the importance and role of software architecture in large scale software systems. 
2. Demonstrate a firm understanding of the principles of software architecture. 
3. Recognize major software architectural styles, design patterns, and frameworks. 
4. Design an architecture that reflects and balances the different needs of its stakeholders. 
5. Describe a software architecture using various documentation approaches and 
architectural description languages. 
6. Discuss and evaluate the current trends and technologies such as model-driven and 
service-oriented architectures. 
7. Use appropriate tools to integrate, test, and deploy a software system. 
8. Practice version tracking, automated building, and release of software systems. ",FALSE,,
INT221,,INFORMATION TECHNOLOGY INTEGRATED PROJECT I,"โครงงานบูรณาการที่ทำจะต้องเป็นโครงงานที่ใช้ความรู้พื้นฐานทางเทคโนโลยีสารสนเทศ รวมถึง
 การประยุกต์แนวคิดและเทคนิคที่เคยเรียนมา ","Project must require a substantial background in Information Technology and the 
applications of studied concepts and techniques.  
Course Learning Outcomes 
1. analyze and design by follow the project requirements 
2. use and apply studied technical concepts and practices in the core information 
technologies",FALSE,,
INT103,,ADVANCED PROGRAMMING,"แนวคิดการเขียนโปรแกรมเชิงวัตถุ: การห่อหุ้ม (เอนแคปซูเลชัน), การรับทอด (อินเฮอริแทนซ์), ภาวะที่มีหลายรูปแบบ (พอลิมอร์ฟิซึม), คลาสนามธรรม, คอลเล็กชันคลาส, เจเนอริกส์, แนวคิดพื้นฐานของการออกแบบเชิงวัตถุ และดีไซน์แพตเทิร์น: เอ็มวีซี, ซิงเกิลตัน, ฟาซาด, แฟกทอรีเมธอด และอื่น ๆ การควบคุมดูแลอินพุต–เอาต์พุต การเขียนโปรแกรมติดต่อฐานข้อมูล ส่วนต่อประสานกราฟิกกับผู้ใช้ การเขียนโปรแกรมเชิงเหตุการณ์ และการเขียนโปรแกรมเชิงฟังก์ชัน","Object-oriented programming concepts: encapsulation, inheritance, and polymorphisms. 
Abstract classes, generics, collection classes. Basic concepts of object-oriented design and design 
patterns: MVC, singleton, façade, factory method, etc. I/O handling. Database programming. GUI. 
Event-driven programming. Functional programming concepts. Course Learning Outcomes 
1. Define the concept of inheritance and describe how it can be applied to encourage code 
reuse. 
2. Design an abstract class and use inheritance to create a class that extends the abstract 
class. 
3. Design, develop, and test an application that uses the abstract class. 
4. Write programs that use data structures (built-in, library, and programmer-defined): strings, 
lists, and maps. 
5. Describe how design patterns are useful in integrative programming. 
6. Evaluate the motivation for using design patterns: MVC, singleton, factory method, façade, 
etc. 
7. Apply decomposition strategy to design a solution to a complex problem. 
8. Write a program that uses file I/O and database to provide persistence across multiple 
executions. 
9. Explain and use basic GUI and event-driven programming concepts. 
10. Compare and contrast the object-oriented programming approach and the functional 
programming approach.",FALSE,,
